文章名,期刊名,DOI,年份,摘要,材料,机制,source,source_family,source_record_id,source_file,source_row,paper_id,clean_assignment,record_action,representative_record_id
On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,NANO LETTERS,10.1021/acs.nanolett.5c02774,2025,"Achieving stable and sustained power output remains a major challenge in the development of ionic thermoelectric devices (such as thermogalvanic cells and thermoionic capacitors) for low-grade heat harvesting. Many such systems exhibit strong performance in the initial throes of operation but degrade rapidly over time, limiting their utility. Here, we report an aqueous thermogalvanic redox agent ([Ni(bpy)3]2+/3+) with a Seebeck coefficient approximately double that of the canonical [Fe(CN)6]4-/3-, which can be utilized continuously for multiple hours under large temperature gradients (Delta T >= 60 K) without significant change in electrical performance. Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower. This new redox pair demonstrates stability, cyclability, and tunability in both liquid- and gel-based electrolytes, and provides a novel redox platform from which to build next-generation high-thermopower waste-heat recovery cells.",aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent in liquid and gel electrolytes,"different oxidant/reductant hydration-shell behavior creates configurational entropy difference, producing anomalous stable high thermopower",iTE1,iTE,iTE1_0989,source_tables/iTE1_first1000_material_mechanism.csv,991,P0020,TG,removed_from_iTE_retained_in_TG,TG_0019
Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.168815,2025,"Ionic thermocells (iTCs) with high ionic thermopower are promising for low-grade waste heat harvesting. The integration of p-n type iTCs in series would be inevitably required for sufficient voltage output. However, ionic thermopower (Si) and power density (P-max/Delta T-2) of n-type iTCs are fairly lower due to the limitation of redox reaction kinetics and ionic transport processes, and cannot match with the advanced p-type iTCs, significantly restricting their amplification. Herein, we demonstrated a cost-effective n-type liquid flow thermocells (LiTCs) with giant ionic thermopower and power density through solvation entropy engineering. The n-type LiTCs consisted of a Y-shaped channel with the separate oxidant and reductant flow alone. During the mixing process of separate FeCl3 and FeCl2 electrolytes flow alone, it can significantly degrade the complexes of Fe(H2O)5Cl(2)(+), and thus increase ionic kinetics and redox solvation entropy induced by the interaction of Fe3+ and water molecules. The Siof LiTCs can be dramatically boosted from +1 to +50.5 mV K-1 at the separate 0.01 mol L-1 FeCl3 and FeCl2 electrolytes flow, which is 38.8 times larger than that of typical n-type iTCs. The Pmax/Delta T-2 and Carnotrelative efficiency can reach the highest of 16.4 mW m(-2) K-2 and 4.4 %, much larger than the previous records. As a consequence, the ionic thermoelectric device comprised of 6 n-p type LiTCs is constructed and can output a continuous and reliable voltage of 1.7 V at 20 K temperature difference. The n-type LiTCs with a competitive cost-performance metric (1.06 $ W-1) present a promising for the practical application.",n-type Y-channel liquid-flow thermocells with separate FeCl3 and FeCl2 electrolytes,"mixing degrades Fe(H2O)5Cl2+ complexes and increases Fe3+-water redox solvation entropy/ionic kinetics, boosting n-type ionic thermopower and power density",iTE2,iTE,iTE2_0019,source_tables/iTE2_first711_material_mechanism.csv,21,P0258,TG,removed_from_iTE_retained_in_TG,TG_0257
Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202104071,2021,"Aqueous thermocells that are eco-friendly and capable of converting low-grade heat into electricity continuously are promising candidates to power flexible and wearable devices in various application scenarios. However, challenges remain in their limited working temperatures, mechanical fragility, and poor thermoelectric performance, mainly due to the reduced entropy of both polymer chains and thermogalvanic ions at low temperatures. In this work, the challenges are addressed by introducing a synergistic chaotropic effect to destruct strong hydrogen bonds, increase polymers' entropic elasticity, and enlarge the entropy difference of thermogalvanic ions. An organohydrogel thermocell is designed with a chaotropic comonomer and a chaotropic cosolvent. The maximum normalized power density of the thermocell achieves 0.1 mW m(-2) K-2, which is in the same order of magnitude as the highest record in current quasi-solid thermocells. Even at -30 degrees C, the thermocell maintains the elongation at a break of more than 100% and a relatively high power density of 0.012 mW m(-2) K-2. Furthermore, the thermocell shows the potential to light up a light-emitting diode and stably works when compressed, bent, and stretched in a wide temperature range. This work provides insights on developing reliable power sources to drive flexible electronics continually in extremely cold environments.",stretchable freeze-tolerant organohydrogel thermocell with chaotropic comonomer/cosolvent and thermogalvanic ions,"chaotropic effects disrupt hydrogen bonding, increase polymer entropy elasticity, and enlarge redox-ion entropy difference for subzero thermocell output",iTE2,iTE,iTE2_0116,source_tables/iTE2_first711_material_mechanism.csv,118,P0182,TG,removed_from_iTE_retained_in_TG,TG_0181
Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,ACS MATERIALS LETTERS,10.1021/acsmaterialslett.4c02193,2025,"Emerging ionic thermoelectric (i-TE) modules consisting of p-n liquid thermocell arrays provide compact and cost-effective ways to achieve low-grade heat harvesting. Despite exciting progress in p-type thermocells, high-performance n-type thermocells remain underdeveloped. Here we present an n-type liquid thermocell with a cosolvent antifreezing electrolyte showing enhanced thermopower, record-high efficiency and power density, and the capability to harness both low-grade heat and subfreezing coldness. Acetonitrile is used as the cosolvent molecule with water that can selectively pair with the reduced metal ion only and simultaneously disrupts the water structure. By tailoring these molecular interactions, we achieved a record-high Carnot-relative efficiency of 1.9% among reported n-type thermocells, and a power density of 5.5 W/m2 at the hot/cold temperatures of 69.8 degrees C and -19.5 degrees C, respectively. Our work marks an important advancement in i-TE technology in terms of both molecular insights and the preparation of high-performance n-type liquid thermocells for low-grade heat harvesting.",n-type liquid thermocell electrolyte of water/acetonitrile cosolvent with redox metal ions,"acetonitrile selectively pairs with reduced metal ion and disrupts water structure, enhancing solvation entropy, antifreezing behavior, and n-type thermopower",iTE2,iTE,iTE2_0127,source_tables/iTE2_first711_material_mechanism.csv,129,P0250,TG,removed_from_iTE_retained_in_TG,TG_0249
Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2025.239060,2026,"Thermogalvanic cells provide an efficient pathway for converting low-grade heat into electricity. Their performance is governed by the Seebeck coefficient, which dictates voltage output and thermoelectric efficiency. Previous efforts to enhance the Seebeck coefficient have focused on entropy contributions from solvent-induced solvation effects, while the impact of configurational entropy in quasi-solid-state networks has received limited attention. Here, we demonstrate that configurational entropy serves as an additional factor modulating the thermoelectric behavior of thermogalvanic hydrogels. Using the PVA hydrogel incorporating the Fe2+/Fe3+ redox couple as a model system, we elucidate how constrained polymer networks alter redox thermodynamics. When a Fe2+/Fe3+ concentration of 0.1 mol L-1, the Seebeck coefficient in the hydrogel reaches 1.32 mV K-1, significantly higher than that in aqueous solution (0.75 mV K-1). Complementary molecular dynamics simula-tions further demonstrate that hydrogel chains disturb the first solvation shell, broaden the radial distribution of coordinating water molecules, and increase dipole orientation disorder, thereby amplifying the configurational disparity between oxidized and reduced species. This leads to an enhanced role of configurational entropy in the ionic migration entropy. Our findings therefore highlight rational design ideas for optimizing high-performance quasi-solid-state thermogalvanic cells by quantifying the actual contribution of configurational entropy in the nano-network structure.",PVA hydrogel thermogalvanic cell with Fe2+/Fe3+ redox couple,"polymer network alters redox solvation shells and dipole disorder, increasing configurational entropy difference and Seebeck coefficient",iTE2,iTE,iTE2_0145,source_tables/iTE2_first711_material_mechanism.csv,147,P0078,TG,removed_from_iTE_retained_in_TG,TG_0077
Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2026.178230,2026,"Next-generation human-machine interfaces require energy-sustainable and highly responsive sensing systems. However, most wearable sensors rely on external power supplies and complex signal processing, limiting longterm stability and portability. Here, we propose a self-powered thermogalvanic hydrogel wristband that simultaneously harvests energy from the body-ambient temperature gradient and transduces mechanical deformation into readable electrical signals. The wristband integrates six dual-layer hydrogel patches, each exhibiting high extensibility (534.5%), adaptable modulus (638 kPa), lightweight portability, tunable ionic conductivity, and anti-drying stability for prolonged use. Enhanced sensing is achieved through thermoelectric-mechanical coupling governed by interfacial resistance gating, wherein deformation reduces the resistance barrier and enhances the intrinsic thermoelectric current. This coupling ensures high sensitivity with a response time of merely 40 ms. By integrating deep learning algorithms, the wristband achieves real-time sign language recognition and object authentication with an accuracy exceeding 95%. This work introduces a hybrid strategy for intelligent motion recognition, providing a new insight for sustainable wearable human-machine interaction.",self-powered thermogalvanic hydrogel wristband with six dual-layer hydrogel patches,"deformation lowers interfacial resistance barriers and enhances intrinsic thermoelectric current, coupling body-heat harvesting with motion sensing",iTE2,iTE,iTE2_0191,source_tables/iTE2_first711_material_mechanism.csv,193,P0082,TG,removed_from_iTE_retained_in_TG,TG_0081
High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202417740,2025,"Using body heat as a sustainable energy source through the thermoelectric effect to power wearable electronics is promising. Ionic thermoelectric materials based on the thermogalvanic effect can generate stable voltage under low-temperature differences, but their low thermopower and poor contact interface with electrodes hinder practical use. In this study, strong chaotropic salts are utilized to modify the solvation shells of ions, increasing the thermopower of the p-type redox couple [Fe(CN)(6)]3(-)/[Fe(CN)(6)]4(-) to 3.98 mV K-1. Additionally, Arrhenius acid is introduced to inhibit the deprotonation of the n-type redox couple Fe3+/Fe2+, enhancing the thermopower to -2.29 mV K-1. Liquid metal electrodes, with excellent deformability and hydrogen bonding with hydrogel surfaces, effectively reduce the resistance of thermocells. Thus, a pair of p-n thermocells achieve a voltage output of 118 mV and a current density of 4.5 A m-2, with a maximum power density of 0.11 W m-2 (Delta T = 5 K). A wearable device integrated with 18 p-n pairs can generate a voltage of 2.2 V from body heat and continuously power portable electronic devices. This work demonstrates the promising potential of wearable self-powered devices for practical daily applications.","p-n thermocells with [Fe(CN)6]3-/4-, Fe3+/Fe2+, chaotropic salts, Arrhenius acid, hydrogel electrolyte, and liquid metal electrodes","chaotropic salts modify solvation shells and acid inhibits Fe3+/Fe2+ deprotonation, while liquid-metal/hydrogel interfaces reduce resistance for wearable output",iTE2,iTE,iTE2_0202,source_tables/iTE2_first711_material_mechanism.csv,204,P0139,TG,removed_from_iTE_retained_in_TG,TG_0138
Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,NANO ENERGY,10.1016/j.nanoen.2025.111686,2026,"Integrating thermal sensation into intelligent robotics is essential for advanced environmental perception and adaptive interaction. Ionic thermoelectric hydrogels represent a promising avenue for next-generation thermal sensors, yet further improvements in sensitivity, structural design, and integration are needed. Here, we present flexible, high-performance thermal sensor arrays based on organic thermogalvanic hydrogels, achieving a high sensitivity of 1.57 mV K-1 and a rapid response time of 0.4 s. The enhanced sensing performance stems from the optimized thermopower in benzoquinone/hydroquinone (BQ/H(2)BQ) redox pairs and the highly reversible electrode reaction process. The adopted hydrogel exhibits outstanding thermopower retention and wide operational temperature range (>50 degrees C), facilitated by ethylene glycol solvent exchange. Leveraging integrated heating and sensing functionalities, the hydrogel thermal sensor arrays enable material recognition through machine learning analysis of thermal signatures. Moreover, we demonstrate a high-density sensor array for mapping spatial temperature distributions generated by diverse heat sources. This work establishes organic thermogalvanic hydrogels as a scalable platform for thermal sensing in next-generation robotics and wearable devices.",organic thermogalvanic hydrogels with benzoquinone/hydroquinone redox pairs and ethylene glycol solvent exchange,"optimized BQ/H2BQ thermopower and reversible electrode reactions enable fast thermal sensing, material recognition, and spatial thermal mapping",iTE2,iTE,iTE2_0209,source_tables/iTE2_first711_material_mechanism.csv,211,P0032,TG,removed_from_iTE_retained_in_TG,TG_0031
High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.159714,2025,"Flexible ionic thermoelectric (i-TE) quasi-solid cells provide an electrolyte leak free, easy-operation and mechanically adaptable route to low-grade heat harvest. However, limited by freezing and evaporation, the hydrogel-based thermocell exhibits environmental instability and has difficulty functioning at low temperatures. Herein, we develop a high-performance cryo-temperature i-TE eutectogel using a water-containing deep eutectic solvent (DES) strategy. The water containing DES is intentionally utilized to modulate the solvent shell structure of redox couple and expand the operation temperature range of i-TE eutectogel cell. Moreover, appropriate amount of water can increase the solubility of [Fe(CN)6]3-/4- , while maintaining the eutectic properties of DES. Subsequently, a double-network polymer gel is constructed to prevent liquid electrolyte leakage and provide the flexibility and operability of the i-TE cell. After synergistic optimization of the solvent and the polymer network, the Seebeck coefficient of the fabricated i-TE eutectogel cell reaches 2.06 mV/K. In a 20-cell prototype module, the current and voltage at Delta T = 8.3 K are 0.033 mA and 0.33 V, respectively. The DES endows this cell wide operable temperature ranging from-60 degrees C to 80 degrees C. The anti-freezing capability of this eutectogel cell offer a new strategy for fabricating gel-based thermocell required in frigid regions.",water-containing DES double-network eutectogel thermocell with [Fe(CN)6]3-/4-,water-containing DES modulates redox solvation shells and prevents freezing/evaporation while polymer network prevents leakage,iTE2,iTE,iTE2_0260,source_tables/iTE2_first711_material_mechanism.csv,262,P0246,TG,removed_from_iTE_retained_in_TG,TG_0245
"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c7ta04891b,2017,"The interest in thermogalvanic cells (TGCs) has grown because it is a candidate technology for harvesting electricity from natural and waste heat. However, the cost of TGCs has a major component due to the use of the platinum electrode. Here, we investigate new alternative electrode material based on conducting polymers, more especially poly(3,4-ethylenedioxythiophene)-to sylate (PEDOT-Tos) together with the ferro/ferricyanide redox electrolyte. The power generated by the PEDOT-Tos based TGCs increases with the conducting polymer thickness/multilayer and reaches values similar to the flat platinum electrode based TGCs. The physics and chemistry behind this exciting result as well as the identification of the limiting phenomena are investigated by various electrochemical techniques. Furthermore, a preliminary study is provided for the stability of the PEDOT-Tos based TGCs.",PEDOT-Tos electrodes with ferro/ferricyanide redox electrolyte thermogalvanic cells,conducting-polymer thickness/multilayers increase electrode activity toward Pt-like thermogalvanic output while electrochemical limits determine performance,iTE2,iTE,iTE2_0270,source_tables/iTE2_first711_material_mechanism.csv,272,P0113,TG,removed_from_iTE_retained_in_TG,TG_0112
Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,NATURE COMMUNICATIONS,10.1038/s41467-018-07625-9,2018,"Thermogalvanic cells offer a cheap, flexible and scalable route for directly converting heat into electricity. However, achieving a high output voltage and power performance simultaneously from low-grade thermal energy remains challenging. Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers. The corresponding Seebeck coefficient and temperature-insensitive power density simultaneously increase from 1.4 to 4.2 mV K-1 and from 0.4 to 1.1 mW K-2 m(-2), respectively. The results reveal that guanidinium and urea synergistically enlarge the entropy difference of the redox couple and significantly increase the Seebeck effect. As a demonstration, we design a prototype module that generates a high open-circuit voltage of 3.4 V at a small temperature difference of 18 K. This thermogalvanic cell system, which features high Seebeck coefficient and low cost, holds promise for the efficient harvest of low-grade thermal energy.",aqueous ferri/ferrocyanide thermogalvanic electrolyte with guanidinium and urea,"chaotropic cations and amide derivatives enlarge redox entropy difference, boosting Seebeck coefficient and power density",iTE2,iTE,iTE2_0315,source_tables/iTE2_first711_material_mechanism.csv,317,P0090,TG,removed_from_iTE_retained_in_TG,TG_0089
Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,ELECTROCHEMISTRY COMMUNICATIONS,10.1016/j.elecom.2016.10.001,2016,"The low potentials generated by individual thermoelectric and thermogalvanic 'heat to electricity' elements necessitate that numerous cells be placed electrically in series to generate useful voltages. The thermoelectrochemistry of two redox couples with opposite signs for their Seebeck coefficients have therefore been evaluated and combined, in order to generate the first thermoelectrochemical (or thermocell) assembly that is electrically in series without a hot-to-cold thermal short-circuit. This was achieved using potassium ferrocyanide(II)/ferricyanide(III) and iron(II)/iron(III) sulphate (plus sulphuric acid) thermocells. Quantitative evaluation of thermocells electrically parallel and/or in series demonstrated relatively simple additive behaviour for current and potential (and thus power density) over a very wide range of concentrations of the redox species. (C) 2016 Elsevier B.V. All rights reserved.",all-iron thermoelectrochemical cells with K4Fe(CN)6/K3Fe(CN)6 and FeSO4/Fe2(SO4)3 in H2SO4,opposite Seebeck coefficients enable pseudo n/p liquid thermocells connected in series/parallel without thermal short-circuiting,iTE2,iTE,iTE2_0349,source_tables/iTE2_first711_material_mechanism.csv,351,P0217,TG,removed_from_iTE_retained_in_TG,TG_0216
Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2018.07.080,2018,"Two types of electrochemical systems for harvesting energy from cyclic changes in environmental temperature using the thermogalvanic effect are demonstrated. Both systems are based on two battery stacks which function in either a dual-temperature or single-temperature configuration. In the dual-temperature configuration, two LiCoO2/Li cells were separately cycled between two temperatures to achieve an energy conversion with an efficiency of 0.22%, free of heat recuperation, and a peak output power of 0.4 mu W when cycled between 20 degrees C and 50 degrees C. This energy conversion efficiency is comparable to other proposed systems for thermal energy harvesting such as charge-free thermally regenerative electrochemical cycle (TREC) devices, thermocapacitive devices and ionic thermoelectric supercapacitors. However, this system can function with a broader range of materials, which will likely allow further increases in efficiency and power. A single-temperature configuration in which two stacks of cells were cycled together between two temperatures was also demonstrated. Both systems are attractive for harvesting thermal energy for self-powered sensor networks, especially in remote areas.",LiCoO2/Li battery stacks in dual-temperature and single-temperature thermogalvanic systems,cyclic temperature changes create thermogalvanic energy conversion in battery stacks for thermal harvesting,iTE2,iTE,iTE2_0439,source_tables/iTE2_first711_material_mechanism.csv,441,P0115,TG,removed_from_iTE_retained_in_TG,TG_0114
Ion transport control in electrolytes via electrochemical doping,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.2532302123,2026,"Doping to control carrier (electron or hole) transport is foundational to modulate the properties of semiconductors, enabling the development of homojunctions and heterodominance, both cations and anions in electrolytes are mobile, which is undesirable for many applications. Here, we report a universal strategy to dope electrolytes such that the ion transport can be unipolar by incorporating electroactive polymers within hydrogels that interact discriminately with one type of ion via redox and binding mechanisms, leaving the counterions mobile. This transforms the system into an active, selective conductor that directs ion flow with high precision. We demonstrate the generality of this strategy using a wide range of electroactive polymers and ions. Particularly, we use emeraldine base and leucoemeraldine base, derived from polyaniline to create both n-type and p-type conductors with high ion selectivity. This electrolyte doping strategy has significant implications beyond the developed thermoelectrochemical devices with boosted performance, with potential applications in supercapacitors, batteries, and electrochemical sensors.",hydrogel electrolytes doped with electroactive polymers including polyaniline emeraldine/leucoemeraldine bases,"redox/binding-selective polymer doping immobilizes one ion type and leaves counterions mobile, creating unipolar ion transport",iTE2,iTE,iTE2_0445,source_tables/iTE2_first711_material_mechanism.csv,447,P0249,TG,removed_from_iTE_retained_in_TG,TG_0248
Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,NANO-MICRO LETTERS,10.1007/s40820-022-00824-6,2022,"The design of power supply systems for wearable applications requires both flexibility and durability. Thermoelectrochemical cells (TECs) with large Seebeck coefficient can efficiently convert low-grade heat into electricity, thus having attracted considerable attention in recent years. Utilizing hydrogel electrolyte essentially addresses the electrolyte leakage and complicated packaging issues existing in conventional liquid-based TECs, which well satisfies the need for flexibility. Whereas, the concern of mechanical robustness to ensure stable energy output remains yet to be addressed. Herein, a flexible quasi-solid-state TEC is proposed based on the rational design of a hydrogel electrolyte, of which the thermogalvanic effect and mechanical robustness are simultaneously regulated via the multivalent ions of a redox couple. The introduced redox ions not only endow the hydrogel with excellent heat-to-electricity conversion capability, but also act as ionic crosslinks to afford a dual-crosslinked structure, resulting in reversible bonds for effective energy dissipation. The optimized TEC exhibits a high Seebeck coefficient of 1.43 mV K-1 and a significantly improved fracture toughness of 3555 J m(-2), thereby can maintain a stable thermoelectrochemical performance against various harsh mechanical stimuli. This study reveals the high potential of the quasi-solid-state TEC as a flexible and durable energy supply system for wearable applications.",quasi-solid-state hydrogel thermocell with multivalent redox ions,redox ions simultaneously provide thermogalvanic heat-to-electric conversion and ionic crosslinks for dual-network mechanical toughness,iTE2,iTE,iTE2_0464,source_tables/iTE2_first711_material_mechanism.csv,466,P0047,TG,removed_from_iTE_retained_in_TG,TG_0046
Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,JOURNAL OF ENERGY CHEMISTRY,10.1016/j.jechem.2026.05.024,2026,"The blooming of wearable electronics necessitates flexible, reliable energy harvesters capable of powering devices using ubiquitous low-grade body heat. While thermocells (TECs) manifest high potential in harnessing such small temperature gradients, their deployment is limited by the mechanical fragility of conventional gel electrolytes and insufficient thermopower for practical applications. Herein, we overcome these barriers through synergistic solvent-network engineering by developing a deep eutectic solvent (DES)/poly(vinyl alcohol) (PVA)-based gel electrolyte. This gel electrolyte is achieved by replacing water in freeze-thawed PVA hydrogels with a DES/[Fe(CN)6]3-/4- mixture, where the introduced DES liberates polymer chains from water-induced constraints, driving molecular rearrangement into a denser, highly crystalline network with intensified hydrogen bonding, yielding a 30-fold increase in tensile strength (7.17 MPa) and high compressive strength (8.99 MPa). Concurrently, the DES asymmetrically solvates the [Fe(CN)6]3-/4- redox couple, dramatically increasing the solvation entropy difference and boosting the thermopower to 1.68 mV K-1. The gel electrolyte also exhibits low thermal conductivity and sufficient ionic conductivity, beneficial for efficient heat harvesting. A scalable, flexible 12-unit TEC module is further demonstrated, showcasing high robustness and practical usability for wearable energy autonomy. (c) 2026 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. and Science Press. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",DES/PVA gel electrolyte with [Fe(CN)6]3-/4- redox couple,"DES densifies/crystallizes PVA network via hydrogen bonding and asymmetrically solvates redox ions, increasing mechanical strength and thermopower",iTE2,iTE,iTE2_0509,source_tables/iTE2_first711_material_mechanism.csv,511,P0264,TG,removed_from_iTE_retained_in_TG,TG_0263
"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",JOURNAL OF CHEMICAL PHYSICS,10.1063/5.0131731,2023,"Thermogalvanic cells convert waste heat directly to electric work. There is an abundance of waste heat in the world and thermogalvanic cells may be underused. We discuss theoretical tools that can help us understand and therefore improve on cell performance. One theory is able to describe all aspects of the energy conversion: nonequilibrium thermodynamics. We recommend to use the theory with operationally defined, independent variables, as others have done before. These describe well-defined experiments. Three invariance criteria serve as a basis for any description: of local electroneutrality, entropy production invariance, and emf's independence of the frame of reference. Alternative formalisms, using different sets of variables, start with ionic or neutral components. We show that the heat flux is not the same in the two formalisms and derive a new relationship between the heat fluxes. The heat flux enters the definition of the Peltier coefficient and is essential for the understanding of the Peltier heat at the electrode interfaces and of the Seebeck coefficient of the cell. The Soret effect can occur independently of any Seebeck effect, but the Seebeck effect will be affected by the presence of a Soret effect. Common misunderstandings are pointed out. Peltier coefficients are needed for the interpretation and design of experiments.",thermogalvanic cells with ionic/neutral component transport formalisms,"Seebeck, Peltier, and Soret effects depend on invariant nonequilibrium-thermodynamic definitions of heat flux, electroneutrality, and reference frame",iTE2,iTE,iTE2_0521,source_tables/iTE2_first711_material_mechanism.csv,523,P0060,TG,removed_from_iTE_retained_in_TG,TG_0059
Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,SUSTAINABLE ENERGY & FUELS,10.1039/d1se01264a,2021,"Electrical power recovery from waste heat released during active cooling of 100-200 degrees C solids is of great importance because such situations are common in our world. However, the concept of simultaneous liquid cooling and electric power generation has been barely explored, apart from a few preliminary studies that showed power generation densities of only 0.05-0.5 W m(-2). Here, we report a realistically useful power generation density of 10 W m(-2) during liquid forced convection cooling of a 170 degrees C surface, thus demonstrating the feasibility of such a concept, based on thermogalvanic conversion with a redox couple. This was achieved by exploiting the fluid dynamics based on a microchannel concept, where a thin thermal boundary layer is formed on the hot surface, enabling both high cooling efficiency and large interelectrode temperature difference (>100 K). A new gamma-butyrolactone-based high density electrolyte with sufficient stability against flame contact was used. Our combined cooling and thermogalvanic cell was able to continuously light LEDs and run air fans despite the small electrode area. Large values of heat transfer coefficient, up to 1160 W m(-2) K-1, were achieved. At all flow rates tested, the electrical power obtained was 10 to 1000 times larger than the hydrodynamic pumping work required to force the liquid through the cell, that is, gain >> 1. Thus, this technological concept has been shown, for the first time, to be a feasible option to recover electrical power from the waste heat released during cooling of 100-200 degrees C surfaces, which are widespread in our world.",gamma-butyrolactone-based thermogalvanic electrolyte/redox couple in microchannel forced-convection cooler,"thin thermal boundary layer maintains large electrode temperature difference, coupling cooling with thermogalvanic power generation",iTE2,iTE,iTE2_0632,source_tables/iTE2_first711_material_mechanism.csv,634,P0101,TG,removed_from_iTE_retained_in_TG,TG_0100
