group_index,class_id,original_members,original_equivalent_edges,priority_incomplete_or_inconsistent,judge_decision,draft_partitions,accepted_edges,rejected_edges,uncertain_edges,judge_reason,secondary_review_note,status,merge_applied
330,iTE:P1712:n1,2,1,False,reject,2,0,1,0,P1712完整摘要明确TE=thermal expansion；P1513是thermoelectric effect。此处是缩写歧义导致的错误等价。,,reviewed,False
331,iTE:P0572:n3,2,1,False,uncertain,2,0,0,1,两段均描述提升但未给properties与performance相同的指标范围，机制相似不足以证明两个集合严格同义。,,reviewed,False
332,iTE:P1145:n3,2,1,False,accept,1,1,0,0,两句转变起点终点与方向完全一致。,,reviewed,False
333,iTE:P1790:n2,2,1,False,accept,1,1,0,0,两句均是主导载流子机制从电子变为离子，触发条件不同不改转变定义。,,reviewed,False
334,iTE:P0850:n2,2,1,False,uncertain,2,0,0,1,第二同时区分超离子桨轮和正常相Frenkel机制；第一只说桨轮解释输运，缺少相区和载流子范围。,,reviewed,False
335,iTE:P0968:n1,2,1,False,accept,1,1,0,0,两处均是掺杂引发晶格/晶胞几何收缩的结构变化，不是单一轴各向异性缩短。,,reviewed,False
336,iTE:P0713:n2,2,1,False,reject,2,0,1,0,浓度差不是按空间长度归一化的梯度；原文未给同一定义，不能按常见关联合并。,,reviewed,False
337,iTE:P1064:n1,2,1,False,uncertain,2,0,0,1,第一为干燥/非干燥多离子材料失水，第二可能是结晶水脱除的热事件；需水的结合状态以确定边界。,,reviewed,False
338,iTE:P1255:n1,2,1,False,accept,1,1,0,0,两处均描述离子键弱的状态属性，未将其导致的软声子模合并。,,reviewed,False
339,iTE:P1656:n2,2,1,False,reject,2,0,1,0,第一相对另一轨道占据情况明显弱化，第二为弱键绝对状态；不把变化比较与属性状态直接同义化。,,reviewed,False
