文章名,期刊名,DOI,年份,摘要,材料,机制
Anti-Fatigue and Highly Conductive Thermocells for Continuous Electricity Generation,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202201021,2022,"The integration of wearable technologies with the human body requires power supplies that are mechanically compatible and able to continuously generate electricity like biological systems. Distinct from existing batteries relying on periodic recharging, thermocells added with thermogalvanic ions are a promising candidate because they enable continuous electricity generation through redox reactions driven by ubiquitous waste heat. However, challenges remain in mechanical adaptability, fatigue resistance, and ion conduction, severely limiting thermocells' sustainability and lifespan in practical applications. Herein, bionic mechanical training is applied to develop anti-fatigue and highly conductive thermocells with hierarchical fibrils and aligned nanochannels. It achieves simultaneous enhancements in mechanical performance and output power density. Compared with existing quasi-solid thermocells with disordered nano-networks, there are approximate to 1790-fold and 5-fold increases in the mechanical toughness and ionic conductivity, respectively. The stretchability can accommodate the human body's deformation, and the power density is comparable to that of state-of-the-art quasi-solid thermocells. Moreover, this is the first demonstration of an anti-fatigue thermocell with a threshold of 2500 J m(-2), which is comparable to that of natural muscles and enables it to take full advantage of the continuous energy conversion mode.","mechanically trained thermocells with hierarchical fibrils, aligned nanochannels, and thermogalvanic ions","bionic training aligns ion channels and toughens network, raising ionic conductivity, fatigue resistance, and continuous thermogalvanic output"
Self-assembled aerogel sheet electrodes of thermocells for low-grade heat harvest,SCIENCE CHINA-CHEMISTRY,10.1007/s11426-023-1912-8,2024,"Efficiently harvesting low-grade heat is crucial for sustainable energy management. Thermocells (TECs), inducing heat-to-electricity conversion via the thermogalvanic effect, have thus drawn tremendous attention in recent years. This study introduces a self-assembly approach for fabricating aerogel sheet electrodes (ASEs) tailored for TECs. The crafted ASEs retain a remarkable porous architecture with approximately 95% porosity, even with their slimmed-down thickness. Results reveal that the electrode composition has minimal influence on the thermopower of TECs. Notably, the porous ASE with tunned composition demonstrates an optimal effective surface area for the thermogalvanic effect, resulting in enhanced output current density. This balances the desirable traits of electrode compactness with abundant redox active sites, positioning it favorably against conventional bulky electrode designs. The TECs utilizing the optimized ASE achieve a peak output power of 22.10 mu W cm-2 under a temperature difference of 30 K. Furthermore, a tubular TEC device is readily assembled and specially designed for harvesting heat energy from hot fluids. These findings underscore the potential of composite electrodes in the realm of low-grade heat harvest, paving the way for broader applications in sustainable energy solutions.",self-assembled porous aerogel sheet electrodes for thermocells,thin porous aerogel electrodes balance compactness and redox-active surface area to increase thermogalvanic output current
Nanostructured and porous antimony-doped tin oxide as electrode material for the heat-to-electricity energy conversion in thermo-electrochemical cells,ELECTROCHEMISTRY COMMUNICATIONS,10.1016/j.elecom.2024.107683,2024,"Thermo-electrochemical cells (or thermogalvanic cells or thermocells, TECs) have gained attention as devices able to convert low temperature heat into electricity. Within TECs, Pt is one of the most employed electrodes, since it exhibits a fast transfer of electrons with the redox couple in the electrolyte. However, its high price represents a serious drawback. Here, we analyze the use of nanostructured and porous antimony-doped tin oxide (Sb:SnO2) as electrode material. Electrodes of different thickness (320, 550 and 1550 nm) were fabricated by spin coating to study the effect of the electrode area in contact with the electrolyte. F:SnO2 (FTO) glass was used as a substrate and the typical 0.4 M potassium ferro/ferricyanide aqueous solution served as electrolyte. An impedance spectroscopy analysis under operating conditions (10 K temperature difference) showed that the Sb: SnO2 electrodes exhibit the same excellent kinetics as Pt for all the different thickness. On the other hand, the power output density was thickness independent, since the temperature coefficients and the series and masstransport resistances were similar, leading to no performance improvements when the electrode area in contact with the electrolyte was significantly increased. Finally, the Carnot-related efficiencies estimated for the Sb: SnO2 cells were in the same order of magnitude as for Pt electrodes. These results open the possibility to use Sb: SnO2 as a suitable electrode in TECs at low cost.",nanostructured porous Sb-doped SnO2 electrodes on FTO with potassium ferro/ferricyanide electrolyte,Sb:SnO2 provides Pt-like electron-transfer kinetics for ferri/ferrocyanide thermocells at lower electrode cost
Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,SMALL,10.1002/smll.202407622,2025,"Thermoelectric generators (TEGs) based on thermogalvanic cells can convert low-temperature waste heat into electricity. Organic redox couples are well-suited for wearable devices due to their nontoxicity and the potential to enhance the ionic Seebeck coefficient through functional-group modifications. Pyrazine-based organic redox couples with different functional groups is comparatively analyzed through cyclic voltammetry under varying temperatures. The results reveal substantial differences in entropy changes with temperature and highlight 2,5-pyrazinedicarboxylic acid dihydrate (PDCA) as the optimal candidate. How the functional groups of the pyrazine compounds impact the ionic Seebeck coefficient is examined, by calculating the electrostatic potential based on density functional theory. To evaluate the thermoelectric properties, PDCA is integrated in different concentrations into a double-network hydrogel comprising poly(vinyl alcohol) and polyacrylamide. The resulting champion device exhibits an impressive ionic Seebeck coefficient (Si) of 2.99 mV K-1, with ionic and thermal conductivities of approximate to 67.6 mu S cm-1 and approximate to 0.49 W m-1 K-1, respectively. Finally, a TEG is constructed by connecting 36 pieces of 20 x 10-3 m PDCA-soaked hydrogel in series. It achieves a maximum power output of approximate to 0.28 mu W under a temperature gradient of 28.3 degrees C and can power a small light-emitting diode. These findings highlight the significant potential of TEGs for wearable devices. Four types of pyrazine-based organic redox couples are compared, and the best-performing one, 2,5-pyrazinedicarboxylic acid dihydrate (PDCA), is subsequently incorporated into a poly(vinyl alcohol)/ polyacrylamide hydrogel at varying concentrations to evaluate its thermoelectric properties. To demonstrate practical applications, nine pieces of the 20 x 10-3 m PDCA-soaked hydrogel are connected in series to form a thermoelectric generator (TEG), showcasing its potential for wearable power generation. image","pyrazine organic redox couples, especially 2,5-pyrazinedicarboxylic acid dihydrate in PVA/PAAm hydrogel",pyrazine functional groups tune redox entropy; PDCA hydrogel delivers high ionic Seebeck coefficient for wearable TEGs
Numerical study on heat and ion transport characteristics enables optimal design of aqueous thermocells for low-grade heat recovery,APPLIED THERMAL ENGINEERING,10.1016/j.applthermaleng.2024.124970,2025,"As a cutting-edge heat-to-electricity technology, thermogalvanic cells (thermocells) have great prospects in lowgrade heat recovery due to its high Seebeck coefficient (Se), high scalability and low cost. Most of previous studies about aqueous thermocells have been focused on the overall performance by experimentally exploring advanced electrode and electrolyte materials, while very few simulation studies were reported before, leading to the unclear mechanisms of heat and ion transport inside the thermocell. In view of these challenges, this study aims to reveal the heat and ion transport characteristics of aqueous thermocells under various critical operating parameters, providing theoretical guidelines for further design and optimization of aqueous thermocells with fixed electrode and electrolyte materials. Firstly, a multi-physical model considering the diffusion, migration and convection was established and validated. Then, the effects of hot electrode temperature, electrode spacing and electrode orientation were evaluated on the thermocell performance from the aspects of distributions of multi- physical fields, overpotentials and overall performance. Finally, a prototype aqueous thermocell was proposed based on the understandings of restrictions associated with these operating parameters. Results indicated that each operating parameter can attribute to the variation of natural convection from the intensity and forms, and then affected the ion transport flux and overpotentials, and thus determined the power density of thermocells. These findings prompted the design and optimization of new aqueous thermocells, and the proposed prototype thermocell delivered the maximum power density of 0.43 W/m2, which was 115 % higher than that of the basic rectangular thermocell.","aqueous thermocells modeled with diffusion, migration, convection, hot electrode temperature, spacing, and orientation","operating parameters alter natural convection, ion transport flux, and overpotentials, determining power density"
Ultra-stretchable hydrogel thermocouples for intelligent wearables,SCIENCE CHINA-MATERIALS,10.1007/s40843-022-2300-3,2023,"Stretchable temperature sensors are necessary to enable tactile interaction and thermoregulation in the human body and soft robots. These sensors should be conformably adhered to a deformable surface and maintain temperature perception accuracy when stretched. However, current mainstream stretchable temperature sensors based on thermistors suffer from inherently unstable sensing during stretching due to the mutual interference of resistance changes caused by temperature and mechanical deformations. Herein, we propose an ultra-stretchable hydrogel thermocouple that provides unaltered temperature sensing upon stretching. The ultra-stretchability of this thermocouple is achieved by constructing thermogalvanic hydrogels with dynamic crosslinked double networks. By connecting P-type and N-type thermogalvanic hydrogels, the thermocouple exhibits a high equivalent See-beck coefficient of 1.93 mV K-1 and a stable sensitivity even under a 100% tensile strain. The advantage of this ultra-stretchable thermocouple is demonstrated in a smart glove prototype, which enables haptic feedback. Our work provides a new strategy for stretchable temperature sensors and may promote the development of intelligent wearables.",p-type and n-type dynamic-crosslinked thermogalvanic hydrogels in stretchable hydrogel thermocouple,"P/N thermogalvanic hydrogels maintain Seebeck sensitivity under strain, decoupling temperature sensing from stretching"
Photo-thermo-electric hydrogel with interlocking photothermal layer and hydrogel for enhancement of thermopower generation,ECOMAT,10.1002/eom2.12428,2024,"Photothermal devices and thermoelectric cells hold great promise for energy generation but integration of the two remains a considerable challenge in real-life power supply for sensors. Here, a novel photo-thermo-electric hydrogel (PTEH-Interlocking) was constructed by the synthesis of a photothermal layer on a thermoelectric hydrogel with the redox pair Fe(CN)63-/Fe(CN)64-. The smart design of using the oxidation of pyrogallic acid by Fe(CN)63- to construct the photothermal layer for photo-to-heat conversion protected the redox couple of the thermogalvanic ion pair from ultraviolet damage, as well as triggered the formation of an interlocking structure at the interface of the photothermal layer and the thermoelectric hydrogel. The as-prepared PTEH-Interlocking has shown a high Seebeck coefficient and rapid heat transfer, boosting the photo-thermo-electric conversion. As a demonstration of a practical application, the PTEH-Interlocking cells are successfully used as the energy supply for a mechanical sensor.image Photo-thermo-electric hydrogel with an interlocking structure at the interface (PTEH-Interlocking) was developed by assembling polyphenol photothermal film on the surface of redox thermoelectric hydrogels. This smart design improved the stability through protecting the internal redox couple from UV damage, as well as improve the photo-thermal-electric conversion efficiency, which realizes the use of solar energy to power miniature sensors.image",Fe(CN)6 3-/4- thermoelectric hydrogel with polyphenol photothermal layer from pyrogallic acid oxidation,"photothermal layer converts light to heat, protects redox ions from UV, and interlocks with hydrogel to enhance photo-thermo-electric conversion"
High thermopower of ferri/ferrocyanide redox couple in organic-water solutions,NANO ENERGY,10.1016/j.nanoen.2016.11.014,2017,"Thermogalvanic cell (thermocell) represents a promising technology for converting low grade waste heat to electricity. For the cell to be attractive, however, the voltage generated for a given temperature difference has to be high. We report that the electrochemical thermopower can be more than doubled to 2.9 mV K-1 when an organic solvent with an appropriate solubility parameter is added to the aqueous electrolyte of ferri/ferrocyanide. This value is better than any reported for the redox couples in aqueous electrolyte as well as in organic solvents. The addition causes a significant rearrangement of the solvation shell, which leads to an increase in the entropy change of the overall redox system and thus an increase in the electrochemical thermopower. For an evaluation of thermoelectric conversion performance, a thermocell with a circulating electrolyte is fabricated as a candidate technology for harvesting thermal energy from liquid cooling systems. The maximum power density obtained, normalized to the square of the inter-electrode temperature difference (similar to 4.1 degrees C), is 0.64 mW m(-2)K(-2), which is approximately 1.8 times higher compared with the thermocell based on pure aqueous electrolyte.",ferri/ferrocyanide organic-water electrolyte with added organic solvent,"organic solvent rearranges ferri/ferrocyanide solvation shell and increases redox entropy change, boosting thermopower"
Aqueous eutectic hydrogel electrolytes enable flexible thermocells with a wide operating temperature range,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d2ta09385e,2023,"Thermocells (TECs) can directly convert thermal energy into electricity via the thermogalvanic effect of redox ions. The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness. In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability. Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C). It also demonstrates long-term environmental stability without the need for encapsulation or packaging. The colligative properties of the hydrogel electrolyte can suppress ice crystallization, and in-depth molecular dynamics simulations reveal that a vital underlying mechanism is the strong coordination effect of Li+ ions with water molecules over a wide range of temperatures. The TEC designed in this work shows high adaptability to temperature fluctuations and environmental changes, and offers a promising route to promote low-grade heat harvesting under extreme environmental conditions.",freeze-tolerant self-humidifying aqueous hydrogel electrolyte with low-concentration redox ions and Li+ hydration,Li+-water coordination and colligative effects suppress ice crystallization and preserve ion transport across wide temperatures
Vapor and heat dual-drive sustainable power for portable electronics in ambient environments,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d2ee00846g,2022,"Ubiquitous vapor and low-grade heat are widely available in nature and provide abundant, clean sources for developing new types of power generators. Herein, we demonstrate high-performance power, driven by vapor and heat for portable electronics in ambient environments. Based on the ternary aggregate of a polyelectrolyte, conducting polymer and a redox couple, the vapor and heat dual-drive electric generator (VHG) of 1 cm(2) offers an open circuit voltage of 0.9 V, and a sustainable short-circuit-current density of up to 0.8 mA cm(-2), much higher than that of single-source generators. Resulting from synergistic double-acting ion migration and the thermogalvanic effect, the high-efficiency VHG can work as a flexible personal energy-supply system to support wearable devices, such as hearing aids, by using body sweat and heat. It can even light a 15 W bulb once compatibly installed in a greenhouse. This work paves the way for sustainable energy generation by effectively collecting multiple types of natural energy comprehensively to realize sustainable applications in different seasons and geographical locations.","ternary aggregate of polyelectrolyte, conducting polymer, and redox couple vapor/heat dual-drive generator",vapor-induced and heat-induced ion migration synergize with thermogalvanic redox to generate sustainable flexible power
Tunable Electrochemical Entropy through Solvent Ordering by a Supramolecular Host,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,10.1021/jacs.3c10145,2023,"An aqueous electrochemically controlled host-guest encapsulation system demonstrates a large and synthetically tunable redox entropy change. Electrochemical entropy is the basis for thermally regenerative electrochemical cycles (TRECs), which utilize reversible electrochemical processes with large molar entropy changes for thermogalvanic waste-heat harvesting and electrochemical cooling, among other potential applications. A supramolecular host-guest system demonstrates a molar entropy change of 4 times that of the state-of-the-art aqueous TREC electrolyte potassium ferricyanide. Upon encapsulation of a guest, water molecules that structurally resemble amorphous ice are displaced from the host cavity, leveraging a change in the degrees of freedom and ordering of the solvent rather than the solvation of the redox-active species to increase entropy. The synthetic tunability of the host allows rational optimization of the system's Delta S, showing a range of -51 to -101 cal mol(-1) K-1 (-2.2 to -4.4 mV K-1) depending on ligand and metal vertex modifications, demonstrating the potential for rational design of high-entropy electrolytes and a new strategy to overcome theoretical limits on ion solvation reorganization entropy.",supramolecular host-guest redox entropy electrolyte for TREC,"electrochemical guest encapsulation displaces ordered cavity water, tuning solvent entropy rather than only redox-ion solvation"
Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2024.234325,2024,"Emerging ionic thermoelectric devices (i-TEs), with synergistic effect of thermogalvanic effect and thermo-diffusion effect, are promising devices to achieve heat to electricity. We report a zinc-iodine thermal charging cell (ZITCC) enabled by cost-efficient electrolytes for low-grade heat harvesting. Efficient functional electrolytes are obtained through optimization from Zn(NO3)(2), Zn(CH3COO)(2) and ZnSO4 electrolytes and introducing redox species (I-/I-3(-)). The ZITCCs generate electricity through thermo-diffusion effect of electrolyte ions, as well as the thermogalvanic effect involving I- to I-3(-) conversion and Zn plating, enabling efficient heat-to-electricity conversion. The Seebeck coefficient of 19.2 mV K-1, a high output voltage of similar to 1 V and superior normalized maximum power density of 0.44 mW m(-2) K-2 is obtained at temperature difference of 15 K. Meanwhile, ZITCCs have good energy storage capacity. In addition, a quasi-solid-state device delivers an 8.5 mW m(-2) output power and impressive performance at temperature difference of 8 K can be acquired. This work provides a good strategy for the design of high-Seebeck coefficient, cost-effective i-TEs for low-grade heat harvesting.",zinc-iodine thermal charging cell with Zn(NO3)2/Zn(CH3COO)2/ZnSO4 electrolytes and I-/I3- redox species,thermodiffusion of electrolyte ions plus I-/I3- conversion and Zn plating thermogalvanic processes generate high voltage and storage
Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,JOURNAL OF ENERGY STORAGE,10.1016/j.est.2024.110437,2024,"Ionic thermoelectric (i-TE) supercapacitors are capable of converting low-grade heat directly into electricity, which has enormous potential for wearable power sources and the Internet of Things. However, the low thermoelectric conversion efficiency limits their applications. Here, we report a method for forming polar corona in a three-dimensional (3D) network based on chitosan-polyacrylamide-silicon dioxide (PACS) hydrogel, significantly increasing the maximum thermogalvanic power density of 187.2 mW m(-2) at a temperature difference (Delta T) of 5 K. The abundant functional groups on PACS confine free H2O molecules to the polymer network, forming polar corona, reducing the volume of thermally diffused ions, and enabling rapid conduction of lithium ions (Li+) in unsaturated coordination. In addition, demonstrating an impressive ionic conductivity of 50.2 mS cm(-1) as well as a maximum thermal charging voltage of 200 mV (Delta T of 8 K), this work provides a new strategy for broadening applications of ionic thermally chargeable supercapacitors in harvesting low-grade heat and wearable devices.",chitosan-polyacrylamide-SiO2 hydrogel supercapacitor with 3D ion-channel hydration,"functional groups confine water into polar corona, reduce thermally diffusing ion volume, and speed Li+ conduction for thermal charging"
Simultaneous Solar Steam and Electricity Generation from Synergistic Salinity-Temperature Gradient,ADVANCED ENERGY MATERIALS,10.1002/aenm.202100481,2021,"Solar-driven interfacial evaporation by localization of solar heating at the air-liquid surface has emerged as a cost-effective desalination technology. The rapid interfacial evaporation induces simultaneous salinity and temperature gradient between evaporation surface and bulk water, which enables electricity generation but is not comprehensively utilized. Herein, the combination of a thermogalvanic cell (TGC) and reverse electrodialysis (RED) in solar-driven interfacial evaporation is proposed to extract energy from temperature and salinity gradients simultaneously. Because of the synergistic ion transport effect, the coupling of TGC and RED enables mutual power enhancement by orders of magnitude based on the rational spatial layout and the fabrication of composite electrodes. Finally, a steam-electricity cogeneration system is designed, which achieves the 1.4 kg m(-2) h(-1) vapor and 1.11 W m(-2) electricity simultaneously under one sun illumination. This concept opens a promising avenue towards a solar-driven water-energy nexus.",solar interfacial evaporation system coupled with thermogalvanic cell and reverse electrodialysis,temperature and salinity gradients mutually enhance ion transport across TGC/RED composite electrodes for steam-electric cogeneration
Synergistic Anisotropic Network and Hierarchical Electrodes Endow Cost-Effective N-Type Quasi-Solid State Thermocell with Boosted Electricity Production,SMALL,10.1002/smll.202310777,2024,"Quasi-solid state thermocells hold immense potential for harnessing untapped low-grade heat and converting it into electricity via the thermogalvanic effect. However, integrated N-type thermocells face limitations in thermoelectric performance due to the rare N-type systems and the poor electroactivity of the electrode interfaces. Herein, a low-cost, high-power N-type quasi-solid state thermocell employing PVA-CuSO4-Cu is presented, which is enhanced by synergistic engineering of an anisotropic network and hierarchical electrodes. The anisotropic polymer network, combined with the salting-out effect, yields impressive mechanical properties that exceed those of most N-type quasi-solid state thermocells. Furthermore, through the synergistic construction of aligned ion transport pathways in the anisotropic thermocell and optimization of the electroactive interface between electrodes and thermocell, a remarkable enhancement of 1500% in output power density (compared to pristine thermocell), reaching 0.51 mW m-2 at increment T = 5 degrees C. It is believed that this cost-effective N-type thermocell, enhanced by the synergistic anisotropic network and hierarchical electrodes, paves the way for effective energy harvesting from diverse heat sources and promises to reshape sustainable energy utilization. The cost-effective N-type quasi-solid state thermocell is fabricated by synergistic kinetic engineering of gel matrix and electrodes in PVA-CuSO4-Cu system. Specifically, well-organized ion transport pathways and optimized hierarchical electrodes improve the thermogalvanic kinetics. Meanwhile, the anisotropicstructure and salting-out effect significantly enhance the mechanical properties. This work provides a straightforward approach and inspires for designing high-performance energy-harvesting materials and electrodes. image",PVA-CuSO4-Cu n-type quasi-solid thermocell with anisotropic polymer network and hierarchical electrodes,aligned ion transport pathways and optimized Cu/electrolyte interfaces improve thermogalvanic kinetics; salting-out strengthens mechanics
Stretchable and Durable Bacterial Cellulose-Based Thermocell with Improved Thermopower Density for Low-Grade Heat Harvesting,NANO LETTERS,10.1021/acs.nanolett.3c02870,2023,"Low-grade heat exists ubiquitously in the environment, and gel-state thermogalvanic cells (GTCs) can directly convert thermal energy into electricity by a redox reaction. However, their low ionic conductivity and poor mechanical properties are still insufficient for their potential applications. Here, we designed a bacterial cellulose (BC) nanofiber-macromolecular entanglement network to balance the GTC's thermopower and mechanical properties. Therefore, the BC-GTC shows a Seebeck coefficient of 3.84 mV K-1, an ionic conductivity of 108.5 mS cm(-1), and a high specific output power density of 1760 mu W m(-2) K-2, which are much higher than most current literature. Further connecting 15 units of BC-GTCs, the output voltage of 3.35 V can be obtained at a temperature gradient of 65 K, which can directly power electronic devices such as electronic calculators, thermohydrometers, fans, and light-emitting diodes (LEDs). This work offers a promising method for developing high-performance and durable GTC in sustainable green energy.",bacterial cellulose gel-state thermogalvanic cell nanofiber-macromolecular entanglement network,"BC nanofiber entanglement balances high ionic conductivity, mechanical durability, and redox thermogalvanic thermopower"
Ionic thermoelectric materials for near ambient temperature energy harvesting,APPLIED PHYSICS LETTERS,10.1063/5.0032119,2021,"Ionic thermoelectric (i-TE) materials, using ions as the energy carrier, can generate a voltage under a temperature difference, bearing similarities to the Seebeck effect of electrons and holes in solid-state materials. Recent experiments have demonstrated large thermopower of quasi-solid-state i-TE materials, which are attractive for harvesting ambient heat as large enough voltage can be generated under a small temperature difference to match the voltage input needs of sensors for internet-of-things applications. In this perspective article, we discuss similarities and differences of i-TE materials from electronic-based thermoelectric materials and also different i-TE thermoelectric effects including the thermodiffusion (Soret) effect and the thermogalvanic effect, in which the latter includes redox reaction entropy and the Soret effect. Strategies to improve performances of materials and devices are elaborated, together with needs for future research in understanding microscopic origins of different effects.",ionic thermoelectric materials using thermodiffusion/Soret and thermogalvanic effects,perspective compares ion-based Seebeck mechanisms and strategies for near-ambient heat harvesting in quasi-solid i-TE materials
Large-area nanofiber membrane of NIR photothermal Cs0.32WO3 for flexible and all-weather solar thermoelectric generation,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2023.147571,2024,"Harvesting heat or solar energy to directly generate affordable and sustainable electricity holds great promise toward both fundamental science and practical applications in self-powered wearable electronics. However, solar thermoelectric (STE) devices remain challenging in establishing a stable and significant temperature gradient (Delta T) across thermoelectric materials for cost-effective electricity generation. Herein, a wearable STE generator with all-weather and high-performance electricity generation was elaborately designed and synthesized sandwiched by a thermogalvanic cell and a large-area nanofiber membrane of Cs0.32WO3 (CWO) nanoparticles with strong near-infrared (NIR) absorption. These prepared CWO membranes, which were prepared via an electrostatic spinning technique, present a high photothermal conversion efficiency of 42.7 % with no degradation after running for 10 cycles. Notably, a significant Delta T of 31.5 K across the thermoelectric modular was achieved for STE generation via the thermal concentration of these photothermal membranes under natural sunlight. Owing to the high thermopower of 2.87 mV K-1 for each p-n pair, STE generation demonstrates a maximum output voltage of 200 mV under natural solar irradiance during the time period of noon. This work explores a new strategy to achieve efficient heat management of STE devices for high electricity generation under all-weather conditions, which demonstrates great potential for self-powered wearable electronics.",Cs0.32WO3 nanoparticle NIR photothermal nanofiber membrane coupled with thermogalvanic cell,NIR photothermal membrane concentrates solar heat to create large temperature gradient across p-n thermogalvanic module
Thermally Regenerative Electrochemical Cycle for Low-Grade Heat Harvesting,ACS ENERGY LETTERS,10.1021/acsenergylett.7b00568,2017,"Tremendous low-grade heat (i.e., <130 degrees C) exists in solar thermal, geothermal, and industrial waste heat. Efficient conversion of low-grade heat to electricity can recover these wasted resources and reduce energy consumption and carbon footprint. Along with thermoelectrics and thermogalvanic cells, thermally regenerative electrochemical cycle (TREC) has attracted wide attention recently, because it has a high temperature coefficient (>1 mV/K), high efficiency, and low cost. In TREC, conversion to electricity is realized by charging-discharging an electrochemical cell at different temperatures. In this Perspective, we will discuss the principle of TREC and recent progress, such as new material systems and mechanisms. More importantly, we will give our opinions on the challenges and future directions of this field, including fundamental understanding, material design, and system engineering.",thermally regenerative electrochemical cycle electrochemical cells,TREC harvests low-grade heat by charging and discharging electrochemical cells at different temperatures using high temperature coefficients
Direct thermal charging cell for converting low-grade heat to electricity,NATURE COMMUNICATIONS,10.1038/s41467-019-12144-2,2019,"Efficient low-grade heat recovery can help to reduce greenhouse gas emission as over 70% of primary energy input is wasted as heat, but current technologies to fulfill the heat-to-electricity conversion are still far from optimum. Here we report a direct thermal charging cell, using asymmetric electrodes of a graphene oxide/platinum nanoparticles cathode and a polyaniline anode in Fe2+/Fe3+ redox electrolyte via isothermal heating operation. When heated, the cell generates voltage via a temperature-induced pseudocapacitive effect of graphene oxide and a thermogalvanic effect of Fe2+/Fe3+, and then discharges continuously by oxidizing polyaniline and reducing Fe3+ under isothermal heating till Fe3+ depletion. The cell can be self-regenerated when cooled down. Direct thermal charging cells attain a temperature coefficient of 5.0 mV K-1 and heat-to-electricity conversion efficiency of 2.8% at 70 degrees C (21.4% of Carnot efficiency) and 3.52% at 90 degrees C (19.7% of Carnot efficiency), outperforming other thermoelectrochemical and thermoelectric systems.","graphene oxide/platinum nanoparticle cathode, polyaniline anode, Fe2+/Fe3+ redox electrolyte direct thermal charging cell","isothermal heating produces voltage through GO pseudocapacitance and Fe2+/Fe3+ thermogalvanic effect, then discharges by PANI oxidation/Fe3+ reduction"
Thermally regenerative electrochemically cycled flow batteries with pH neutral electrolytes for harvesting low-grade heat,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,10.1039/d1cp01988k,2021,"Harvesting waste heat with temperatures lower than 100 degrees C can improve the system efficiency and reduce greenhouse gas emissions, yet it has been a longstanding and challenging task. Electrochemical methods for harvesting low-grade heat have aroused research interest in recent years due to the relatively high effective temperature coefficient of the electrolytes (>1 mV K-1) compared with the thermopower of traditional thermoelectric devices. Compared with other electrochemical devices such as the temperature-variation based thermally regenerative electrochemical cycle and temperature-difference based thermogalvanic cells, the thermally regenerative electrochemically cycled flow battery (TREC-FB) has the advantages of providing a continuous power output, decoupling the heat source and heat sink, and recuperating heat, and compatible with stacking for scaling up. However, the TREC-FB suffers from the issue of stable operation due to the challenge of pH matching between catholyte and anolyte solutions with desirable temperature coefficients. In this work, we demonstrate a pH-neutral TREC-FB based on KI/KI3 and K3Fe(CN)(6)/K4Fe(CN)(6) as the catholyte and anolyte, respectively, with a cell temperature coefficient of 1.9 mV K-1 and a power density of 9 mu W cm(-2). This work also presents a comprehensive model with a coupled analysis of mass transfer and reaction kinetics in a porous electrode that can accurately capture the flow rate dependence of the power density and energy conversion efficiency. We estimate that the efficiency of the pH-neutral TREC-FB can reach nearly 9% of the Carnot efficiency at the maximum power output with a temperature difference of 37 K. Via analysis, we identify that the mass transfer overpotential inside the porous electrode and the resistance of the ion exchange membrane are the two major factors limiting the efficiency and power density, pointing to directions for future improvements.",pH-neutral TREC flow battery with KI/KI3 catholyte and K3/K4[Fe(CN)6] anolyte,temperature-dependent redox potentials enable continuous low-grade heat harvesting; porous-electrode mass transfer and membrane resistance limit performance
Boosting solar-thermal-electric conversion of thermoelectrochemical cells by construction of a carboxymethylcellulose-interpenetrated polyacrylamide network,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d2ta00025c,2022,"Quasi-solid hydrogel-based thermoelectrochemical cells (QS-TECs) have the potential to power ubiquitous sensors needed for the internet of things (IoT). However, developing a strategy for simultaneously enhancing mechanical performance, water-retention capacity and Seebeck coefficient remains a challenge. Additionally, little attention has been paid to developing QS-TECs that are able to convert solar energy into electricity, even though solar energy is a major source of renewable energy. Here, a semi-interpenetrated QS-TEC has been designed by introducing carboxymethylcellulose (CMC) into the network of a polyacrylamide hydrogel. Because of strong interactions between CMC, the polyacrylamide network, water molecules and thermogalvanic ions, the newly designed QS-TEC showed a similar to 1.5-fold better mechanical performance, similar to 1.2-fold greater water retention and similar to 1.05-fold higher Seebeck coefficient than a QS-TEC with a pure polyacrylamide network. Robust solar-thermal-electricity conversion was achieved by coating solar-thermal carbon nanotubes onto the surface of the QS-TEC. As a demonstration of a practical application, the solar-driven QS-TEC was successfully used as the energy supply for mechanical sensors.",CMC-interpenetrated PAAm hydrogel with thermogalvanic ions and CNT solar-thermal coating,"CMC interactions with water/polymer/redox ions improve mechanics, retention, and Seebeck response; CNT coating enables solar-thermal-electric conversion"
